DIST_CODE,DIST_NAME,References
0102,Mongkol Borei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0103,Phnum Srok,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0104,Preah Netr Preah,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0105,Ou Chrov,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0106,Krong Serei Saophoan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0107,Thma Puok,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0108,Svay Chek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0109,Malai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0110,Krong Paoy Paet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
0201,Banan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0202,Thma Koul,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0203,Krong Battambang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0204,Bavel,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0205,Aek Phnum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0206,Moung Ruessei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0207,Rotonak Mondol,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0208,Sangkae,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0209,Samlout,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0210,Sampov Lun,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0211,Phnom Proek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0212,Kamrieng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0213,Koas Krala,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0214,Rukhak Kiri,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Battambang__01.03.2012.pdf
0301,Batheay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0302,Chamkar Leu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0303,Cheung Prey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0304,Dambae,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0305,Krong Kampong Cham,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0306,Kampong Siem,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0307,Kang Meas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0308,Kaoh Soutin,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0309,Krouch Chhmar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0310,Memot,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0311,Ou Reang Ov,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0312,Ponhea Kraek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0313,Prey Chhor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0314,Srei Santhor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0315,Stueng Trang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0316,Tboung Khmum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0317,Krong Suong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongCham__01.03.2012.pdf
0401,Baribour,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0402,Chol Kiri,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0403,Krong Kampong Chhnang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0404,Kampong Leaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0405,Kampong Tralach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0406,Rolea B'ier,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0407,Sameakki Mean Chey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0408,Tuek Phos,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongChhnang__01.03.2012.pdf
0501,Basedth,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0502,Krong Chbar Mon,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0503,Kong Pisei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0504,Aoral,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0505,Odongk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0506,Phnum Sruoch,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0507,Samraong Tong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0508,Thpong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongSpeu__01.03.2012.pdf
0601,Baray,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0602,Kampong Svay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0603,Krong Stueng Saen,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0604,Prasat Ballangk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0605,Prasat Sambour,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0606,Sandan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0607,Santuk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0608,Stoung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KampongThom__01.03.2012.pdf
0701,Angkor Chey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0702,Banteay Meas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0703,Chhuk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0704,Chum Kiri,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0705,Dang Tong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0706,Kampong Trach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0707,Tuek Chhou,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0708,Krong Kampot,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kampot__01.03.2012.pdf
0803,Khsach Kandal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0804,Kaoh Thum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0805,Leuk Daek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0806,Lvea Aem,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0810,S'ang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0901,Botum Sakor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0902,Kiri Sakor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0903,Koh Kong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0904,Krong Khemarak Phoumin,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0905,Mondol Seima,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0906,Srae Ambel,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
0907,Thma Bang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_KohKong__01.03.2012.pdf
1001,Chhloung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1002,Krong Kracheh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1003,Preaek Prasab,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1004,Sambour,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1005,Snuol,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1006,Chitr Borie,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kratie__01.03.2012.pdf
1101,Kaev Seima,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Mondulkiri__01.03.2012.pdf
1102,Kaoh Nheaek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Mondulkiri__01.03.2012.pdf
1103,Ou Reang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Mondulkiri__01.03.2012.pdf
1104,Pech Chreada,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Mondulkiri__01.03.2012.pdf
1105,Krong Saen Monourom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Mondulkiri__01.03.2012.pdf
1201,Chamkar Mon,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1202,Doun Penh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1203,Prampir Meakkakra,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1204,Tuol Kouk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1301,Chey Saen,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1302,Chhaeb,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1303,Choam Khsant,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1304,Kuleaen,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1305,Rovieng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1306,Sangkum Thmei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1307,Tbaeng Mean Chey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1308,Krong Preah Vihear,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
1401,Ba Phnum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1402,Kamchay Mear,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1403,Kampong Trabaek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1404,Kanhchriech,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1405,Me Sang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1406,Peam Chor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1407,Peam Ro,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1408,Pea Reang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1409,Preah Sdach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1410,Krong Prey Veng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1411,Kampong Leav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1412,Sithor Kandal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1413,Svay Antor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreyVeng__01.03.2012.pdf
1501,Bakan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1502,Kandieng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1503,Krakor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1504,Phnum Kravanh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1505,Krong Pursat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1506,Veal Veaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pursat__01.03.2012.pdf
1601,Andoung Meas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1602,Krong Ban Lung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1603,Bar Kaev,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1604,Koun Mom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1605,Lumphat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1606,Ou Chum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1607,Ou Ya Dav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1608,Ta Veaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1609,Veun Sai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
1701,Angkor Chum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1702,Angkor Thum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1703,Banteay Srei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1704,Chi Kraeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1706,Kralanh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1707,Puok,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1709,Prasat Bakong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1710,Krong Siem Reab,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1711,Soutr Nikom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1712,Srei Snam,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1713,Svay Leu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1714,Varin,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
1801,Krong Preah Sihanouk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahSihanouk__01.03.2012.pdf
1802,Prey Nob,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahSihanouk__01.03.2012.pdf
1803,Stueng Hav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahSihanouk__01.03.2012.pdf
1804,Kampong Seila,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahSihanouk__01.03.2012.pdf
1901,Sesan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
1902,Siem Bouk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
1903,Siem Pang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
1904,Krong Stueng Traeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
1905,Thala Barivat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
2001,Chantrea,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2002,Kampong Rou,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2003,Rumduol,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2004,Romeas Haek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2005,Svay Chrum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2006,Krong Svay Rieng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2007,Svay Teab,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2008,Krong Bavet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SvayRieng__01.03.2012.pdf
2101,Angkor Borei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2102,Bati,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2103,Borei Cholsar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2104,Kiri Vong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2105,Kaoh Andaet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2106,Prey Kabbas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2107,Samraong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2108,Krong Doun Kaev,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2109,Tram Kak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2110,Treang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Takeo__01.03.2012.pdf
2201,Anlong Veaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
2202,Banteay Ampil,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
2203,Chong Kal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
2204,Krong Samraong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
2205,Trapeang Prasat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
2301,Damnak Chang'aeur,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kep__01.03.2012.pdf
2302,Krong Kaeb,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kep__01.03.2012.pdf
2401,Krong Pailin,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pailin__01.03.2012.pdf
2402,Sala Krau,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Pailin__01.03.2012.pdf
1209,Pou Senchey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1205,Dangkao,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1206,Mean Chey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
1208,Saensokh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
0808,Angk Snuol,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0809,Popnhea Lueu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0802,Kien Svay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0807,Mukh kampul,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
1207,Ruessei Kaev,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PhnomPenh__01.03.2012.pdf
0801,Kandal Stueng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
0811,Krong Ta Khmau,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_Kandal__01.03.2012.pdf
