Dis_Code,District,Dis_Num,NB_EMIGRAN,LSize_Ha,LSize_Skm,TOPOP,Em_perSkm,Em_perPOP
0102,Mongkol Borei,102,637,80722.62055100000,807.22620551000,139315,0.78912205235,4.57237196282
0103,Phnum Srok,103,75,76234.93520500000,762.34935205000,46935,0.09838009280,1.59795461809
0104,Preah Netr Preah,104,124,109268.12686400001,1092.68126864000,87089,0.11348231507,1.42383079379
0105,Ou Chrov + Ppay Pet,105,304,54580.61392120000,545.80613921200,155185,0.55697431406,1.95895221832
0106,Krong Serei Saophoan,106,509,26959.73531060000,269.59735310600,90279,1.88800073197,5.63807751526
0107,Thma Puok,107,80,108963.50962700001,1089.63509627000,61189,0.07341907421,1.30742453709
0108,Svay Chek,108,27,81343.35813420000,813.43358134200,55596,0.03319263013,0.48564644939
0109,Malai,109,165,50167.29201380000,501.67292013800,42284,0.32889955462,3.90218522373
0201,Banan,201,2081,87444.80853280000,874.44808532800,92138,2.37978678771,22.58568668740
0202,Thma Koul,202,1498,85616.41611260000,856.16416112600,113443,1.74966445457,13.20486940580
0203,Krong Battambang,203,2317,11551.16020220000,115.51160202200,144323,20.05859116700,16.05426716460
0204,Bavel,204,2053,96222.92557350000,962.22925573500,100000,2.13358717558,20.53000000000
0205,Aek Phnum,205,459,106781.99365200000,1067.81993652000,68276,0.42984775270,6.72271369149
0206,Moung Ruessei + Rokha Kiri,206,2501,141223.57913699999,1412.23579137000,152671,1.77095072599,16.38163108910
0207,Rotonak Mondol,207,694,79199.12696540001,791.99126965400,41170,0.87627228556,16.85693466120
0208,Sangkae,208,1558,116923.92527199999,1169.23925272000,111663,1.33249033196,13.95269695420
0209,Samlout,209,600,142852.09804300001,1428.52098043000,39701,0.42001483228,15.11296944660
0210,Sampov Lun,210,253,45244.76680330000,452.44766803300,35248,0.55918069177,7.17771221062
0211,Phnom Proek,211,420,64788.32246250000,647.88322462500,49722,0.64826497127,8.44696512610
0212,Kamrieng,212,727,52874.82257530000,528.74822575300,51053,1.37494551204,14.24010342190
0213,Koas Krala,213,174,115186.21482100000,1151.86214821000,25766,0.15105974293,6.75308546146
0301,Batheay,301,100,66559.23855250000,665.59238552500,102924,0.15024210339,0.97159068827
0302,Chamkar Leu,302,1175,60004.03705960000,600.04037059600,110967,1.95820157706,10.58873358750
0303,Cheung Prey,303,108,36929.65901920000,369.29659019200,83771,0.29244786675,1.28922896945
0304,Dambae,304,33,72996.73816640000,729.96738166400,80490,0.04520749944,0.40998881849
0305,Krong Kampong Cham,305,187,2292.89525121000,22.92895251210,47300,8.15562768955,3.95348837209
0306,Kampong Siem,306,141,43105.46994480000,431.05469944800,100047,0.32710465790,1.40933761132
0307,Kang Meas,307,145,38951.89266420000,389.51892664200,89727,0.37225405515,1.61601301726
0308,Kaoh Soutin,308,193,18647.36888680000,186.47368886800,60434,1.03499856292,3.19356653539
0309,Krouch Chhmar,309,163,55924.07043600000,559.24070436000,92845,0.29146662381,1.75561419570
0310,Memot,310,139,153703.62227500000,1537.03622275000,148463,0.09043378285,0.93626021298
0311,Ou Reang Ov,311,350,34181.99928550000,341.81999285500,80947,1.02393074518,4.32381681841
0312,Ponhea Kraek,312,97,76012.65283290000,760.12652832900,135318,0.12761033379,0.71682998566
0313,Prey Chhor,313,657,44494.00114530000,444.94001145300,125352,1.47660354899,5.24124066628
0314,Srei Santhor,314,96,34774.93683040000,347.74936830400,86563,0.27606088968,1.10901886487
0315,Stueng Trang,315,243,109142.00620900000,1091.42006209000,118907,0.22264571492,2.04361391676
0316,Tboung Khmum + Korng Suon,316,259,89056.77618500000,890.56776185000,219937,0.29082570815,1.17760995194
0401,Baribour,401,130,43399.31374910000,433.99313749100,56406,0.29954390697,2.30471935610
0402,Chol Kiri,402,57,32891.44643420000,328.91446434200,32048,0.17329733466,1.77858212681
0403,Krong Kampong Chhnang,403,119,4665.61251007000,46.65612510070,43130,2.55057615143,2.75910039416
0404,Kampong Leaeng,404,122,94815.39009730000,948.15390097300,44520,0.12867109430,2.74034141959
0405,Kampong Tralach,405,279,46424.58847430000,464.24588474300,80835,0.60097463256,3.45147522731
0406,Rolea B'ier,406,228,70700.16573730001,707.00165737300,92715,0.32248863581,2.45914900502
0407,Sameakki Mean Chey,407,164,67163.67370020000,671.63673700200,65754,0.24417961521,2.49414484290
0408,Tuek Phos,408,200,169454.88600000000,1694.54886000000,56933,0.11802551388,3.51290112940
0501,Basedth,501,389,50880.55586990000,508.80555869900,119531,0.76453567252,3.25438589153
0502,Krong Chbar Mon,502,33,8099.13460734000,80.99134607340,46850,0.40745093890,0.70437566702
0503,Kong Pisei,503,125,38098.99333420000,380.98993334200,112921,0.32809265826,1.10696858866
0504,Aoral,504,10,238043.99377500001,2380.43993775000,29883,0.00420090414,0.33463842318
0505,Odongk,505,253,52133.16060160000,521.33160601600,119213,0.48529572556,2.12225176784
0506,Phnum Sruoch,506,137,164728.16095600001,1647.28160956000,95227,0.08316732197,1.43866760478
0507,Samraong Tong,507,67,73358.72738070000,733.58727380700,142545,0.09133200969,0.47002700902
0508,Thpong,508,205,71130.42692590000,711.30426925900,50774,0.28820296582,4.03749950762
0601,Baray,601,556,130971.25960000000,1309.71259600000,167581,0.42452061750,3.31779855712
0602,Kampong Svay,602,232,139535.91575499999,1395.35915755000,89206,0.16626543693,2.60072192453
0603,Krong Stueng Saen,603,70,36637.99281370000,366.37992813700,54033,0.19105850136,1.29550459904
0604,Prasat Ballangk,604,69,137398.41741600001,1373.98417416000,47193,0.05021891904,1.46208124086
0605,Prasat Sambour,605,80,73793.35645630000,737.93356456300,39402,0.10841084325,2.03035378915
0606,Sandan,606,42,296370.25132799998,2963.70251328000,49689,0.01417146283,0.84525750166
0607,Santuk,607,70,259184.15651599999,2591.84156516000,80229,0.02700782368,0.87250246170
0608,Stoung,608,220,170686.33569000001,1706.86335690000,104076,0.12889139550,2.11383988624
0701,Angkor Chey,701,418,31654.43062390000,316.54430623900,72684,1.32051024694,5.75092179847
0702,Banteay Meas,702,253,40114.78128970000,401.14781289700,83022,0.63069021410,3.04738503047
0703,Chhuk,703,490,129274.34402300000,1292.74344023000,99587,0.37903886011,4.92032092542
0704,Chum Kiri,704,214,44828.55808030000,448.28558080300,47176,0.47737426579,4.53620484992
0705,Dang Tong,705,143,31513.46148760000,315.13461487600,54261,0.45377433405,2.63541033155
0706,Kampong Trach,706,120,37737.09610240000,377.37096102400,85776,0.31798949149,1.39899272524
0707,Tuek Chhou,707,215,151409.91336499999,1514.09913365000,106977,0.14199862824,2.00977780271
0708,Krong Kampot,708,26,5410.20584880000,54.10205848800,36367,0.48057321157,0.71493386862
0801,Kandal Stueng,801,59,26363.53121700000,263.63531217000,100460,0.22379399601,0.58729842724
0802,Kien Svay,802,126,38461.35600450000,384.61356004500,172950,0.32760155410,0.72853425846
0803,Khsach Kandal,803,88,36410.27381800000,364.10273818000,117322,0.24169002529,0.75007245018
0804,Kaoh Thum,804,278,48239.47306950000,482.39473069500,141470,0.57629153536,1.96508093589
0805,Leuk Daek,805,114,37604.02411660000,376.04024116600,54250,0.30315904395,2.10138248848
0806,Lvea Aem,806,33,25839.71993100000,258.39719931000,66734,0.12771036253,0.49450055444
0807,Mukh Kampul,807,41,24623.63749530000,246.23637495300,90748,0.16650667477,0.45180059065
0808,Angk Snuol,808,98,29939.02684550000,299.39026845500,129865,0.32733194872,0.75462980788
0809,Popnhea Lueu,809,124,33685.29315720000,336.85293157200,115895,0.36811316862,1.06993399198
0810,S'ang,810,341,51893.49220620000,518.93492206200,195445,0.65711515164,1.74473637085
0811,Krong Ta Khmau,811,94,3136.04146758000,31.36041467580,80141,2.99740934461,1.17293270611
0901,Botum Sakor,901,18,107474.95484900000,1074.74954849000,19978,0.01674808799,0.90099109020
0902,Kiri Sakor,902,26,68011.11384150000,680.11113841500,6952,0.03822904601,3.73993095512
0903,Koh Kong,903,67,159997.98869299999,1599.97988693000,7356,0.04187552640,9.10821098423
0904,Krong Khemarak Phoumin,904,57,10036.52116560000,100.36521165600,25957,0.56792586853,2.19593943830
0905,Mondol Seima,905,24,148253.79271300000,1482.53792713000,14584,0.01618845600,1.64563905650
0906,Srae Ambel,906,47,230226.17894000001,2302.26178940000,37623,0.02041470706,1.24923583978
0907,Thma Bang,907,11,380354.58100499999,3803.54581005000,5031,0.00289203826,2.18644404691
1001,Chhloung,1001,63,86586.94154410000,865.86941544100,52889,0.07275923930,1.19117396812
1002,Krong Kracheh + Chitr Borie,1002,572,8864.20685329000,88.64206853290,89705,6.45291800459,6.37645616186
1003,Preaek Prasab,1003,108,137966.48735400001,1379.66487354000,59324,0.07827987946,1.82051109163
1004,Sambour,1004,202,536929.40136799996,5369.29401368000,55696,0.03762133336,3.62683137030
1005,Snuol,1005,115,281894.47240400000,2818.94472404000,61603,0.04079540795,1.86679220168
1101,Kaev Seima,1101,11,313871.89075700002,3138.71890757000,19218,0.00350461457,0.57238006036
1102,Kaoh Nheaek,1102,0,528222.45322000002,5282.22453220000,15209,0.00000000000,0.00000000000
1103,Ou Reang,1103,0,113318.66675800001,1133.18666758000,3948,0.00000000000,0.00000000000
1104,Pech Chreada,1104,4,357395.44574699999,3573.95445747000,10392,0.00111920844,0.38491147036
1105,Krong Saen Monourom,1105,1,54109.42469120000,541.09424691200,12340,0.00184810688,0.08103727715
1201,Chamkar Mon,1201,234,1115.33684004000,11.15336840040,182004,20.98020899150,1.28568602888
1202,Doun Penh,1202,196,768.24443137600,7.68244431376,126550,25.51271340150,1.54879494271
1203,Prampir Meakkakra,1203,124,219.94772314400,2.19947723144,91895,56.37703279100,1.34936612438
1204,Tuol Kouk,1204,108,796.70490937800,7.96704909378,171200,13.55583462950,0.63084112150
1205,Dangkao,1205,75,19135.37095010000,191.35370950100,193227,0.39194432235,0.38814451396
1206,Mean Chey,1206,112,4617.08056236000,46.17080562360,266865,2.42577530297,0.41968785716
1207,Ruessei Kaev + Sanesokh,1207,242,6205.29864957000,62.05298649570,295874,3.89989287650,0.81791573440
1301,Chey Saen,1301,14,109942.14496400001,1099.42144964000,20730,0.01273397022,0.67534973468
1302,Chhaeb,1302,12,253886.23811400001,2538.86238114000,16731,0.00472652637,0.71723148646
1303,Choam Khsant,1303,1,376972.17094099999,3769.72170941000,25245,0.00026527157,0.03961180432
1304,Kuleaen,1304,21,218807.37829900000,2188.07378299000,24824,0.00959748257,0.84595552691
1305,Rovieng,1305,35,218329.78622600000,2183.29786226000,35633,0.01603079479,0.98223556815
1306,Sangkum Thmei,1306,32,132367.80823200001,1323.67808232000,17279,0.02417506222,1.85195902541
1307,Tbaeng Mean Chey + KrongPV,1307,6,64369.36423210000,643.69364232100,30697,0.00932120438,0.19545883963
1401,Ba Phnum,1401,164,34231.73138740000,342.31731387400,72576,0.47908765742,2.25970017637
1402,Kamchay Mear,1402,109,46395.43919700000,463.95439197000,74407,0.23493688579,1.46491593533
1403,Kampong Trabaek,1403,170,50461.43793580000,504.61437935800,109291,0.33689091503,1.55548032317
1404,Kanhchriech,1404,75,31616.50669650000,316.16506696500,54791,0.23721785813,1.36883794784
1405,Me Sang,1405,63,40767.69189030000,407.67691890300,89885,0.15453413495,0.70089558881
1406,Peam Chor,1406,132,43706.64552520000,437.06645525200,67531,0.30201356891,1.95465786083
1407,Peam Ro,1407,53,19243.81301250000,192.43813012500,60791,0.27541319366,0.87183958152
1408,Pea Reang,1408,84,56644.90597400000,566.44905974000,107086,0.14829224015,0.78441626356
1409,Preah Sdach,1409,205,48352.18502410000,483.52185024100,110571,0.42397256690,1.85401235405
1410,Krong Prey Veng + Svay Anthor,1410,166,6858.86855254000,68.58868552540,114698,2.42022425023,1.44727894122
1411,Kampong Leav,1411,20,19329.39873090000,193.29398730900,29259,0.10346933331,0.68355036057
1412,Sithor Kandal,1412,110,31281.68132360000,312.81681323600,56486,0.35164350299,1.94738519279
1501,Bakan,1501,1674,154172.91766199999,1541.72917662000,124829,1.08579381216,13.41034535240
1502,Kandieng,1502,167,58202.04072570000,582.02040725700,58066,0.28693151978,2.87603761237
1503,Krakor,1503,244,133271.40262000001,1332.71402620000,82902,0.18308503940,2.94323418012
1504,Phnum Kravanh,1504,279,341721.36971699999,3417.21369717000,59466,0.08164546462,4.69175663404
1505,Krong Pursat,1505,307,35233.51022660000,352.33510226600,58846,0.87132958943,5.21700710329
1506,Veal Veaeng,1506,3,435977.72298299999,4359.77722983000,13052,0.00068810855,0.22984983144
1601,Andoung Meas,1601,1,83786.53926370000,837.86539263700,10365,0.00119350913,0.09647853353
1602,Krong Ban Lung,1602,20,20169.34810210000,201.69348102100,28982,0.09916036899,0.69008350010
1603,Bar Kaev,1603,2,46733.44738890000,467.33447388900,19953,0.00427959013,0.10023555355
1604,Koun Mom,1604,0,209997.49300900000,2099.97493009000,15505,0.00000000000,0.00000000000
1605,Lumphat,1605,1,182705.08891699999,1827.05088917000,18975,0.00054733013,0.05270092227
1606,Ou Chum,1606,1,55816.14270840000,558.16142708400,17982,0.00179159639,0.05561116672
1607,Ou Ya Dav,1607,0,167136.78177100001,1671.36781771000,16420,0.00000000000,0.00000000000
1608,Ta Veaeng,1608,1,227275.32057700001,2272.75320577000,5835,0.00043999498,0.17137960583
1609,Veun Sai,1609,0,184942.49557400000,1849.42495574000,16449,0.00000000000,0.00000000000
1701,Angkor Chum,1701,48,47903.91943410000,479.03919434100,53768,0.10020056932,0.89272429698
1702,Angkor Thum,1702,8,35725.65289770000,357.25652897700,24335,0.02239287277,0.32874460653
1703,Banteay Srei,1703,14,60071.32556100000,600.71325561000,42773,0.02330562855,0.32730928389
1704,Chi Kraeng,1704,114,236239.50242400001,2362.39502424000,125367,0.04825611248,0.90933020651
1706,Kralanh,1706,299,56807.69539540000,568.07695395400,57690,0.52633714133,5.18287398163
1707,Puok,1707,103,101171.11364600000,1011.71113646000,112882,0.10180771595,0.91245725625
1709,Prasat Bakong,1709,2,34174.72874150000,341.74728741500,61425,0.00585227761,0.03256003256
1710,Krong Siem Reab,1710,192,47064.55115550000,470.64551155500,230714,0.40795034752,0.83219917300
1711,Soutr Nikom,1711,106,77961.87824239999,779.61878242400,98378,0.13596388695,1.07747667161
1712,Srei Snam,1712,33,55757.60152580000,557.57601525800,31359,0.05918475526,1.05232947479
1713,Svay Leu,1713,1,191772.02315600001,1917.72023156000,25726,0.00052145250,0.03887118091
1714,Varin,1714,4,109834.79373000000,1098.34793730000,32026,0.00364183322,0.12489851995
1801,Krong Preah Sihanouk,1801,140,18939.98630850000,189.39986308500,91284,0.73917688070,1.53367512379
1802,Prey Nob,1802,124,118102.37411200000,1181.02374112000,93141,0.10499365566,1.33131488818
1803,Stueng Hav,1803,19,22879.10868800000,228.79108688000,20277,0.08304519315,0.93702224195
1804,Kampong Seila,1804,0,98596.74925750001,985.96749257500,16694,0.00000000000,0.00000000000
1901,Sesan,1901,4,270167.04380300001,2701.67043803000,17506,0.00148056548,0.22849308808
1902,Siem Bouk,1902,7,145912.56242999999,1459.12562430000,14444,0.00479739365,0.48463029632
1903,Siem Pang,1903,0,455930.14494199998,4559.30144942000,18323,0.00000000000,0.00000000000
1904,Krong Stueng Traeng,1904,11,68978.05494859999,689.78054948600,30959,0.01594710087,0.35530863400
1905,Thala Barivat,1905,6,260699.26764599999,2606.99267646000,30439,0.00230150244,0.19711554256
2001,Chantrea + Krong Bavet,2001,13,27695.88216680000,276.95882166800,62027,0.04693838572,0.20958614797
2002,Kampong Rou,2002,63,39369.81854690000,393.69818546900,57732,0.16002105757,1.09124922054
2003,Rumduol,2003,14,27502.17674280000,275.02176742800,46944,0.05090506156,0.29822767553
2004,Romeas Haek,2004,35,76286.21730510000,762.86217305100,109068,0.04587984729,0.32090072249
2005,Svay Chrum,2005,42,52075.68905980000,520.75689059800,120318,0.08065183727,0.34907495138
2006,Krong Svay Rieng,2006,64,10329.52912760000,103.29529127600,40536,0.61958293751,1.57884349714
2007,Svay Teab,2007,20,33297.02073930000,332.97020739300,46163,0.06006543395,0.43324740593
2101,Angkor Borei,2101,95,30073.28042950000,300.73280429500,46261,0.31589503587,2.05356563844
2102,Bati,2102,234,37483.06192450000,374.83061924500,131031,0.62428197694,1.78583693935
2103,Borei Cholsar,2103,105,24440.33409380000,244.40334093800,26055,0.42961769507,4.02993667242
2104,Kiri Vong,2104,288,59269.67206280000,592.69672062800,97711,0.48591461700,2.94746753180
2105,Kaoh Andaet,2105,172,35018.27160210000,350.18271602100,48039,0.49117215708,3.58042423864
2106,Prey Kabbas,2106,249,26758.84932790000,267.58849327900,95416,0.93053328620,2.60962522009
2107,Samraong,2107,246,29376.60174520000,293.76601745200,107807,0.83740114712,2.28185553814
2108,Krong Doun Kaev,2108,81,9588.26795308000,95.88267953080,41383,0.84478239862,1.95732547181
2109,Tram Kak,2109,778,55989.81185140000,559.89811851400,152170,1.38953851473,5.11270289807
2110,Treang,2110,443,41026.45223970000,410.26452239700,99033,1.07979114892,4.47325638928
2201,Anlong Veaeng,2201,76,153282.22233300001,1532.82222333000,39045,0.04958174460,1.94647201946
2202,Banteay Ampil,2202,2,122058.53407500000,1220.58534075000,41005,0.00163855810,0.04877453969
2203,Chong Kal,2203,2,97289.24426450000,972.89244264500,21749,0.00205572570,0.09195825095
2204,Krong Samraong,2204,56,141920.54397500001,1419.20543975000,51414,0.03945869881,1.08919749485
2205,Trapeang Prasat,2205,7,148595.24356000000,1485.95243560000,32606,0.00471078336,0.21468441391
2301,Damnak Chang'aeur,2301,12,8760.02738469000,87.60027384690,23048,0.13698587314,0.52065255120
2302,Krong Kaeb,2302,0,6487.75974598000,64.87759745980,12705,0.00000000000,0.00000000000
2401,Krong Pailin,2401,1425,57454.14963560000,574.54149635600,36354,2.48023860598,39.19788744020
2402,Sala Krau,2402,1807,50273.42186510000,502.73421865100,34132,3.59434455217,52.94152115320
